symbol,date,open,high,low,close,volume
AAPL,2024-01-01,150.0,155.0,149.5,152.3,1000000
AAPL,2024-01-02,152.5,157.8,151.2,156.7,1200000
AAPL,2024-01-03,156.5,159.2,155.8,158.9,1100000
AAPL,2024-01-04,158.8,162.5,157.3,160.2,1300000
AAPL,2024-01-05,160.5,163.8,159.1,162.7,1400000
GOOGL,2024-01-01,2800.0,2850.0,2780.0,2820.5,500000
GOOGL,2024-01-02,2825.0,2880.0,2810.0,2865.2,550000
GOOGL,2024-01-03,2860.0,2920.0,2850.0,2901.8,600000
GOOGL,2024-01-04,2905.0,2950.0,2885.0,2932.4,520000
GOOGL,2024-01-05,2930.0,2980.0,2915.0,2967.9,580000
